Date,Open,High,Low,Close,Adj Close,Volume
07/11/2018,80675,80875,77850,79550,71931.94531,1705100
08/11/2018,80700,80700,78075,80000,72338.84375,955100
09/11/2018,79675,79675,76500,77500,70078.25781,1549900
12/11/2018,78375,78900,75700,75700,68450.63281,660400
13/11/2018,75775,77650,75775,77000,69626.14063,808000
14/11/2018,77100,77775,75000,77050,69671.35156,1017300
15/11/2018,76450,78000,76450,77050,69671.35156,1070000
16/11/2018,77525,79250,77525,78550,71027.70313,562600
19/11/2018,78550,78600,77350,78200,70711.21875,780800
20/11/2018,78200,78200,78200,78200,70711.21875,0
21/11/2018,78000,79450,77525,79375,71773.69531,849800
22/11/2018,79375,81000,78900,80200,72519.69531,1241600
23/11/2018,79875,81050,79000,80500,72790.96094,547200
26/11/2018,79300,80000,79025,79525,71909.33594,705600
27/11/2018,77975,80475,77900,80450,72745.75,522500
28/11/2018,80000,83200,80000,82400,74509.01563,1454500
29/11/2018,82800,84000,82500,83525,75526.28125,1218900
30/11/2018,83550,84200,82000,82000,74147.32031,1373600
